symbol,venue,hour_utc,count,usd
btcusdt,binance,0,9945.0,114897770.42672
btcusdt,binance,1,9107.0,101050901.81537001
btcusdt,binance,2,8137.0,101861200.95014
btcusdt,binance,3,7207.0,72477008.07139
btcusdt,binance,4,6809.0,60362642.18852
btcusdt,binance,5,7016.0,77969490.01839
btcusdt,binance,6,7172.0,70395013.36865
btcusdt,binance,7,7400.0,93235252.57699
btcusdt,binance,8,7959.0,84833062.0765
btcusdt,binance,9,7873.0,78590986.34176
btcusdt,binance,10,6048.0,52794589.85339
btcusdt,binance,11,7227.0,98940620.07713
btcusdt,binance,12,8712.0,88956732.61494
btcusdt,binance,13,11948.0,187068836.58523
btcusdt,binance,14,19285.0,284843657.90681
btcusdt,binance,15,19285.0,288487268.30333
btcusdt,binance,16,16197.0,216866693.2083
btcusdt,binance,17,14480.0,179952959.89202
btcusdt,binance,18,12104.0,150172130.25419
btcusdt,binance,19,9846.0,111490581.85992
btcusdt,binance,20,9576.0,135696642.46336
btcusdt,binance,21,7307.0,75012955.99332
btcusdt,binance,22,8039.0,129143046.74062
btcusdt,binance,23,7388.0,86678620.49986
btcusdt,bybit,0,21258.0,266658830.0312
btcusdt,bybit,1,19482.0,255082090.024
btcusdt,bybit,2,13359.0,175621832.4234
btcusdt,bybit,3,11643.0,145694239.9528
btcusdt,bybit,4,11775.0,138926085.6105
btcusdt,bybit,5,10012.0,111997296.5337
btcusdt,bybit,6,10899.0,136802169.5086
btcusdt,bybit,7,11183.0,140660209.4811
btcusdt,bybit,8,10410.0,119555066.0259
btcusdt,bybit,9,9403.0,95513645.3407
btcusdt,bybit,10,7728.0,79668940.7021
btcusdt,bybit,11,11271.0,129664107.8401
btcusdt,bybit,12,15232.0,175038795.0586
btcusdt,bybit,13,20133.0,223496865.6945
btcusdt,bybit,14,37684.0,453247631.8798
btcusdt,bybit,15,43842.0,552306348.5799
btcusdt,bybit,16,29312.0,373312463.3619
btcusdt,bybit,17,34541.0,427640701.5912
btcusdt,bybit,18,28261.0,376804010.3316
btcusdt,bybit,19,17199.0,221767961.5525
btcusdt,bybit,20,18900.0,233723400.4351
btcusdt,bybit,21,11678.0,149987637.5354
btcusdt,bybit,22,20364.0,322286891.0964
btcusdt,bybit,23,12647.0,159118773.4428
ethusdt,binance,0,10811.0,108529432.73775999
ethusdt,binance,1,10427.0,99556047.04853
ethusdt,binance,2,9367.0,105239331.03294
ethusdt,binance,3,8606.0,82664174.03381
ethusdt,binance,4,7684.0,52832191.46939
ethusdt,binance,5,8159.0,84365656.19053
ethusdt,binance,6,8438.0,72321369.91654
ethusdt,binance,7,8391.0,76512079.95556
ethusdt,binance,8,9466.0,89538206.23871
ethusdt,binance,9,9124.0,65629678.27646
ethusdt,binance,10,7548.0,53154838.57665
ethusdt,binance,11,8575.0,80872936.21653
ethusdt,binance,12,10270.0,97922198.29663
ethusdt,binance,13,13610.0,141163492.0074
ethusdt,binance,14,21658.0,269202073.76284
ethusdt,binance,15,21871.0,228645603.53656
ethusdt,binance,16,18407.0,175836990.39791
ethusdt,binance,17,16530.0,185222943.30713
ethusdt,binance,18,14311.0,191310808.007
ethusdt,binance,19,11526.0,124994135.93496
ethusdt,binance,20,10671.0,126801312.07855
ethusdt,binance,21,8049.0,69951421.56634
ethusdt,binance,22,8851.0,163915080.93892
ethusdt,binance,23,8446.0,77061249.14495
ethusdt,bybit,0,13118.0,137426942.6063
ethusdt,bybit,1,11407.0,121013762.1142
ethusdt,bybit,2,7784.0,76578097.8823
ethusdt,bybit,3,8117.0,78526959.3172
ethusdt,bybit,4,6797.0,65121341.708
ethusdt,bybit,5,6970.0,58973725.7601
ethusdt,bybit,6,7199.0,67521706.6524
ethusdt,bybit,7,7393.0,65766972.3177
ethusdt,bybit,8,7507.0,72914335.4532
ethusdt,bybit,9,6475.0,61796788.486600004
ethusdt,bybit,10,5708.0,51537012.6552
ethusdt,bybit,11,6945.0,71841800.2134
ethusdt,bybit,12,9621.0,79341604.34
ethusdt,bybit,13,12672.0,122286831.6655
ethusdt,bybit,14,28032.0,311545852.4522
ethusdt,bybit,15,30898.0,308787471.3654
ethusdt,bybit,16,22458.0,233545678.0827
ethusdt,bybit,17,23289.0,237323117.9418
ethusdt,bybit,18,23836.0,242714384.7788
ethusdt,bybit,19,12341.0,121276639.4966
ethusdt,bybit,20,14203.0,137063874.7342
ethusdt,bybit,21,8714.0,101014980.0046
ethusdt,bybit,22,11546.0,145634606.8737
ethusdt,bybit,23,9126.0,92213617.4066
