symbol,scale,lag,acf
btcusdt,1s lags,1,0.10574489881261331
btcusdt,1s lags,2,0.041382635714616145
btcusdt,1s lags,3,0.031572923396469554
btcusdt,1s lags,4,0.024629713595654804
btcusdt,1s lags,5,0.027338405770383586
btcusdt,1s lags,6,0.009172820672977254
btcusdt,1s lags,7,0.018924899240132118
btcusdt,1s lags,8,0.017430214790779865
btcusdt,1s lags,9,0.008411206252008935
btcusdt,1s lags,10,0.005121766965024046
btcusdt,1s lags,11,0.005196230096629198
btcusdt,1s lags,12,-0.0095452616385345
btcusdt,1s lags,13,0.005120316625063212
btcusdt,1s lags,14,0.002736736781467411
btcusdt,1s lags,15,-0.011351499503678072
btcusdt,1s lags,16,0.002316657830577731
btcusdt,1s lags,17,7.181495085811241e-05
btcusdt,1s lags,18,0.002546874726437903
btcusdt,1s lags,19,0.0017283258121362011
btcusdt,1s lags,20,-0.01002757771448838
btcusdt,1s lags,21,-0.007680255093262365
btcusdt,1s lags,22,-0.004826379317360901
btcusdt,1s lags,23,-0.015552939543531005
btcusdt,1s lags,24,0.003951142665686817
btcusdt,1s lags,25,0.01109146696256934
btcusdt,1s lags,26,0.00469577314911105
btcusdt,1s lags,27,-0.008080960899669984
btcusdt,1s lags,28,-0.0010089143647714126
btcusdt,1s lags,29,-0.0062178630143025545
btcusdt,1min agg,1,-0.023110993757761766
btcusdt,1min agg,2,-0.0017854929537900609
btcusdt,1min agg,3,-0.005338900870186303
btcusdt,1min agg,4,0.011167044648068274
btcusdt,1min agg,5,0.029485417789779998
btcusdt,1min agg,6,0.01523853160725039
btcusdt,1min agg,7,0.0419282046767116
btcusdt,1min agg,8,0.013937645499789765
btcusdt,1min agg,9,-0.03198011746587077
btcusdt,1min agg,10,0.03896068151456363
btcusdt,1min agg,11,0.04304608051568126
btcusdt,1min agg,12,0.009868699582321687
btcusdt,1min agg,13,0.07189167896927491
btcusdt,1min agg,14,-0.040242518562463504
btcusdt,1min agg,15,0.014654892532816622
btcusdt,1min agg,16,0.030784773897289824
btcusdt,1min agg,17,0.019161828961453277
btcusdt,1min agg,18,-0.03940653313413129
btcusdt,1min agg,19,0.03742170395246367
btcusdt,1min agg,20,-0.03537866768779451
btcusdt,1min agg,21,-0.006085796899551612
btcusdt,1min agg,22,-0.048949379413232026
btcusdt,1min agg,23,0.12661493429299003
btcusdt,1min agg,24,0.0003206179500550979
btcusdt,1min agg,25,-0.005787104196580694
btcusdt,1min agg,26,-0.03419221482361009
btcusdt,1min agg,27,-4.8169423601819467e-05
btcusdt,1min agg,28,0.03595232725015492
btcusdt,1min agg,29,0.014306146954749483
btcusdt,1min agg,30,0.015761621650221144
btcusdt,1min agg,31,0.08940896163283059
btcusdt,1min agg,32,-0.020915260657794855
btcusdt,1min agg,33,-0.10934358902063741
btcusdt,1min agg,34,0.036839714143467504
btcusdt,1min agg,35,-0.06533994890340064
btcusdt,1min agg,36,0.0334460760262651
btcusdt,1min agg,37,-0.06694784078190101
btcusdt,1min agg,38,0.0032149804737338123
btcusdt,1min agg,39,-0.06409511138907292
btcusdt,1min agg,40,-0.0034953142631870375
btcusdt,1min agg,41,0.002452294133986543
btcusdt,1min agg,42,0.0075264207311376155
btcusdt,1min agg,43,-0.020615420931775305
btcusdt,1min agg,44,-0.02280430740930732
btcusdt,1min agg,45,0.05388491415423175
btcusdt,1min agg,46,0.029753492904362945
btcusdt,1min agg,47,0.02613488023467299
btcusdt,1min agg,48,-0.00979970738770704
btcusdt,1min agg,49,-0.08819171043984497
btcusdt,1min agg,50,-0.01920995550356711
btcusdt,1min agg,51,0.05850802134743646
btcusdt,1min agg,52,-0.03624188469659859
btcusdt,1min agg,53,0.01682949658660782
btcusdt,1min agg,54,0.018768382622586302
btcusdt,1min agg,55,0.08015058031445377
btcusdt,1min agg,56,0.03832625091563957
btcusdt,1min agg,57,0.05872039767884306
btcusdt,1min agg,58,0.004628774266366102
btcusdt,1min agg,59,0.02814294638775026
ethusdt,1s lags,1,0.04512049371442351
ethusdt,1s lags,2,0.03307419314189171
ethusdt,1s lags,3,0.028409031518994533
ethusdt,1s lags,4,0.019210400291082938
ethusdt,1s lags,5,0.016122176780848714
ethusdt,1s lags,6,-0.0093131277316679
ethusdt,1s lags,7,0.016992980995389588
ethusdt,1s lags,8,-0.0033602342018073596
ethusdt,1s lags,9,-0.000995107788523407
ethusdt,1s lags,10,0.0046054243491171825
ethusdt,1s lags,11,0.0017391662571123645
ethusdt,1s lags,12,-0.00304116878585476
ethusdt,1s lags,13,0.0052966015479033075
ethusdt,1s lags,14,0.005516691820026874
ethusdt,1s lags,15,-0.012203778846184052
ethusdt,1s lags,16,-0.008599376922899686
ethusdt,1s lags,17,-0.007687931035442723
ethusdt,1s lags,18,-0.008368594776517135
