dow,hour_utc,count,venue
0,0,2807,binance
0,1,1976,binance
0,2,1405,binance
0,3,1647,binance
0,4,1129,binance
0,5,1097,binance
0,6,1235,binance
0,7,1106,binance
0,8,1191,binance
0,9,1409,binance
0,10,924,binance
0,11,1114,binance
0,12,1376,binance
0,13,1790,binance
0,14,3115,binance
0,15,3480,binance
0,16,2215,binance
0,17,2203,binance
0,18,1660,binance
0,19,1731,binance
0,20,1471,binance
0,21,980,binance
0,22,1030,binance
0,23,961,binance
1,0,1231,binance
1,1,1402,binance
1,2,1209,binance
1,3,1313,binance
1,4,1160,binance
1,5,1455,binance
1,6,1075,binance
1,7,1065,binance
1,8,1403,binance
1,9,1287,binance
1,10,787,binance
1,11,930,binance
1,12,1071,binance
1,13,1687,binance
1,14,3741,binance
1,15,3072,binance
1,16,2807,binance
1,17,2816,binance
1,18,2081,binance
1,19,1539,binance
1,20,1792,binance
1,21,1467,binance
1,22,1408,binance
1,23,939,binance
2,0,1178,binance
2,1,1328,binance
2,2,1119,binance
2,3,923,binance
2,4,883,binance
2,5,1290,binance
2,6,963,binance
2,7,842,binance
2,8,1196,binance
2,9,1131,binance
2,10,807,binance
2,11,1117,binance
2,12,1295,binance
2,13,1812,binance
2,14,3360,binance
2,15,3254,binance
2,16,2823,binance
2,17,2213,binance
2,18,2085,binance
2,19,1744,binance
2,20,1467,binance
2,21,1145,binance
2,22,1122,binance
2,23,814,binance
3,0,1214,binance
3,1,1336,binance
3,2,1576,binance
3,3,943,binance
3,4,1035,binance
3,5,1136,binance
3,6,964,binance
3,7,1040,binance
3,8,939,binance
3,9,1273,binance
3,10,981,binance
3,11,1041,binance
3,12,1449,binance
3,13,2103,binance
3,14,2910,binance
3,15,3798,binance
3,16,2937,binance
3,17,2841,binance
3,18,2274,binance
3,19,1886,binance
3,20,1673,binance
3,21,1313,binance
3,22,1191,binance
3,23,1063,binance
4,0,1865,binance
4,1,1440,binance
4,2,1445,binance
4,3,1168,binance
4,4,1154,binance
4,5,1008,binance
4,6,1163,binance
4,7,1569,binance
4,8,1359,binance
4,9,1523,binance
4,10,1271,binance
4,11,1445,binance
4,12,1715,binance
4,13,2390,binance
4,14,3436,binance
4,15,3540,binance
4,16,2828,binance
4,17,2414,binance
4,18,1797,binance
4,19,1144,binance
4,20,1329,binance
4,21,598,binance
4,22,813,binance
4,23,662,binance
5,0,781,binance
5,1,537,binance
5,2,512,binance
5,3,606,binance
5,4,777,binance
5,5,480,binance
5,6,1067,binance
5,7,1010,binance
5,8,1028,binance
5,9,585,binance
5,10,562,binance
5,11,730,binance
5,12,786,binance
5,13,860,binance
5,14,1321,binance
5,15,941,binance
5,16,1065,binance
5,17,799,binance
5,18,1059,binance
5,19,764,binance
5,20,783,binance
5,21,677,binance
5,22,622,binance
5,23,911,binance
6,0,869,binance
6,1,1088,binance
6,2,871,binance
6,3,607,binance
6,4,671,binance
6,5,550,binance
6,6,705,binance
6,7,768,binance
6,8,843,binance
6,9,665,binance
6,10,716,binance
6,11,850,binance
6,12,1020,binance
6,13,1306,binance
6,14,1402,binance
6,15,1200,binance
6,16,1522,binance
6,17,1194,binance
6,18,1148,binance
6,19,1038,binance
6,20,1061,binance
6,21,1127,binance
6,22,1853,binance
6,23,2038,binance
0,0,8280,bybit
0,1,4369,bybit
0,2,2181,bybit
0,3,4446,bybit
0,4,1335,bybit
0,5,927,bybit
0,6,1187,bybit
0,7,940,bybit
0,8,1460,bybit
0,9,2207,bybit
0,10,1131,bybit
0,11,2234,bybit
0,12,2799,bybit
0,13,2661,bybit
0,14,5336,bybit
0,15,9775,bybit
0,16,3681,bybit
0,17,3951,bybit
0,18,2243,bybit
0,19,3540,bybit
0,20,2439,bybit
0,21,1281,bybit
0,22,2288,bybit
0,23,1045,bybit
1,0,1567,bybit
1,1,2977,bybit
1,2,2450,bybit
1,3,3279,bybit
1,4,2276,bybit
1,5,3222,bybit
1,6,1458,bybit
1,7,1088,bybit
1,8,2199,bybit
1,9,1426,bybit
1,10,946,bybit
1,11,756,bybit
1,12,917,bybit
1,13,2885,bybit
1,14,8287,bybit
1,15,5221,bybit
1,16,5173,bybit
1,17,6654,bybit
1,18,5450,bybit
1,19,2050,bybit
1,20,3186,bybit
1,21,2795,bybit
1,22,6183,bybit
1,23,1767,bybit
2,0,972,bybit
2,1,2102,bybit
2,2,1453,bybit
2,3,870,bybit
2,4,1112,bybit
2,5,2269,bybit
2,6,1442,bybit
2,7,816,bybit
2,8,1739,bybit
2,9,1311,bybit
2,10,714,bybit
2,11,1791,bybit
2,12,1777,bybit
2,13,3055,bybit
2,14,7586,bybit
2,15,7019,bybit
2,16,4981,bybit
2,17,5261,bybit
2,18,3436,bybit
2,19,3272,bybit
2,20,1796,bybit
2,21,1823,bybit
2,22,1756,bybit
2,23,624,bybit
3,0,1036,bybit
3,1,2076,bybit
3,2,2872,bybit
3,3,1317,bybit
3,4,1458,bybit
3,5,1862,bybit
3,6,1055,bybit
3,7,1769,bybit
3,8,573,bybit
3,9,1330,bybit
3,10,989,bybit
3,11,1361,bybit
3,12,2344,bybit
3,13,2845,bybit
3,14,4717,bybit
3,15,13085,bybit
3,16,5925,bybit
3,17,7792,bybit
3,18,6335,bybit
3,19,3895,bybit
3,20,7632,bybit
3,21,1743,bybit
3,22,1678,bybit
3,23,1157,bybit
4,0,7585,bybit
4,1,6135,bybit
4,2,3043,bybit
4,3,992,bybit
4,4,4078,bybit
4,5,1158,bybit
4,6,2205,bybit
4,7,4438,bybit
4,8,1927,bybit
4,9,2228,bybit
4,10,3105,bybit
4,11,2566,bybit
4,12,5625,bybit
4,13,5472,bybit
4,14,6739,bybit
4,15,6114,bybit
4,16,4868,bybit
4,17,3665,bybit
4,18,2052,bybit
4,19,1035,bybit
4,20,1746,bybit
4,21,426,bybit
4,22,1169,bybit
4,23,950,bybit
5,0,485,bybit
5,1,266,bybit
5,2,263,bybit
5,3,298,bybit
5,4,528,bybit
5,5,212,bybit
5,6,2943,bybit
5,7,1317,bybit
5,8,1057,bybit
5,9,277,bybit
5,10,373,bybit
5,11,866,bybit
5,12,788,bybit
5,13,1189,bybit
5,14,3054,bybit
5,15,727,bybit
5,16,2421,bybit
5,17,4731,bybit
5,18,6623,bybit
5,19,1372,bybit
5,20,788,bybit
5,21,676,bybit
5,22,758,bybit
5,23,1910,bybit
6,0,1333,bybit
6,1,1557,bybit
6,2,1097,bybit
6,3,441,bybit
6,4,988,bybit
6,5,362,bybit
6,6,609,bybit
6,7,815,bybit
6,8,1455,bybit
6,9,624,bybit
6,10,470,bybit
6,11,1697,bybit
6,12,982,bybit
6,13,2026,bybit
6,14,1965,bybit
6,15,1901,bybit
6,16,2263,bybit
6,17,2487,bybit
6,18,2122,bybit
6,19,2035,bybit
6,20,1313,bybit
6,21,2934,bybit
6,22,6532,bybit
6,23,5194,bybit
