dow,hour_utc,count,venue
0,0,2870,binance
0,1,2242,binance
0,2,1644,binance
0,3,1921,binance
0,4,1370,binance
0,5,1458,binance
0,6,1525,binance
0,7,1406,binance
0,8,1329,binance
0,9,1787,binance
0,10,1082,binance
0,11,1289,binance
0,12,1532,binance
0,13,2100,binance
0,14,3548,binance
0,15,3921,binance
0,16,2481,binance
0,17,2590,binance
0,18,2020,binance
0,19,1958,binance
0,20,1637,binance
0,21,1231,binance
0,22,1191,binance
0,23,1107,binance
1,0,1522,binance
1,1,1708,binance
1,2,1481,binance
1,3,1497,binance
1,4,1225,binance
1,5,1625,binance
1,6,1418,binance
1,7,1142,binance
1,8,1649,binance
1,9,1357,binance
1,10,996,binance
1,11,1026,binance
1,12,1251,binance
1,13,1910,binance
1,14,3972,binance
1,15,3497,binance
1,16,3160,binance
1,17,3018,binance
1,18,2467,binance
1,19,1743,binance
1,20,2017,binance
1,21,1630,binance
1,22,1666,binance
1,23,1211,binance
2,0,1305,binance
2,1,1498,binance
2,2,1291,binance
2,3,1137,binance
2,4,964,binance
2,5,1400,binance
2,6,1075,binance
2,7,1007,binance
2,8,1459,binance
2,9,1313,binance
2,10,1200,binance
2,11,1463,binance
2,12,1552,binance
2,13,2170,binance
2,14,3761,binance
2,15,3720,binance
2,16,3342,binance
2,17,2597,binance
2,18,2427,binance
2,19,2140,binance
2,20,1627,binance
2,21,1359,binance
2,22,1280,binance
2,23,1079,binance
3,0,1378,binance
3,1,1533,binance
3,2,1612,binance
3,3,1373,binance
3,4,1127,binance
3,5,1320,binance
3,6,1064,binance
3,7,1173,binance
3,8,1205,binance
3,9,1395,binance
3,10,1321,binance
3,11,1171,binance
3,12,1812,binance
3,13,2534,binance
3,14,3444,binance
3,15,4198,binance
3,16,3211,binance
3,17,2982,binance
3,18,2483,binance
3,19,2054,binance
3,20,1742,binance
3,21,1224,binance
3,22,1206,binance
3,23,1156,binance
4,0,1996,binance
4,1,1622,binance
4,2,1572,binance
4,3,1302,binance
4,4,1378,binance
4,5,1057,binance
4,6,1368,binance
4,7,1666,binance
4,8,1555,binance
4,9,1689,binance
4,10,1387,binance
4,11,1750,binance
4,12,1947,binance
4,13,2512,binance
4,14,3536,binance
4,15,3871,binance
4,16,3097,binance
4,17,2546,binance
4,18,2082,binance
4,19,1304,binance
4,20,1411,binance
4,21,719,binance
4,22,892,binance
4,23,701,binance
5,0,788,binance
5,1,649,binance
5,2,613,binance
5,3,682,binance
5,4,790,binance
5,5,556,binance
5,6,1106,binance
5,7,1014,binance
5,8,1303,binance
5,9,756,binance
5,10,635,binance
5,11,891,binance
5,12,896,binance
5,13,911,binance
5,14,1593,binance
5,15,1175,binance
5,16,1269,binance
5,17,1174,binance
5,18,1345,binance
5,19,1019,binance
5,20,844,binance
5,21,781,binance
5,22,689,binance
5,23,973,binance
6,0,952,binance
6,1,1175,binance
6,2,1154,binance
6,3,694,binance
6,4,830,binance
6,5,743,binance
6,6,882,binance
6,7,983,binance
6,8,966,binance
6,9,827,binance
6,10,927,binance
6,11,985,binance
6,12,1280,binance
6,13,1473,binance
6,14,1804,binance
6,15,1489,binance
6,16,1847,binance
6,17,1623,binance
6,18,1487,binance
6,19,1308,binance
6,20,1393,binance
6,21,1105,binance
6,22,1927,binance
6,23,2219,binance
0,0,5109,bybit
0,1,3398,bybit
0,2,1596,bybit
0,3,3815,bybit
0,4,1326,bybit
0,5,912,bybit
0,6,1349,bybit
0,7,819,bybit
0,8,912,bybit
0,9,1619,bybit
0,10,911,bybit
0,11,1505,bybit
0,12,1532,bybit
0,13,1633,bybit
0,14,3599,bybit
0,15,8268,bybit
0,16,2437,bybit
0,17,2944,bybit
0,18,2288,bybit
0,19,2069,bybit
0,20,1762,bybit
0,21,1256,bybit
0,22,1461,bybit
0,23,981,bybit
1,0,737,bybit
1,1,1572,bybit
1,2,936,bybit
1,3,1303,bybit
1,4,1064,bybit
1,5,2938,bybit
1,6,1517,bybit
1,7,723,bybit
1,8,1678,bybit
1,9,904,bybit
1,10,423,bybit
1,11,346,bybit
1,12,661,bybit
1,13,2073,bybit
1,14,5315,bybit
1,15,3777,bybit
1,16,3903,bybit
1,17,4143,bybit
1,18,5281,bybit
1,19,1849,bybit
1,20,4693,bybit
1,21,3090,bybit
1,22,3755,bybit
1,23,1055,bybit
2,0,571,bybit
2,1,1081,bybit
2,2,1011,bybit
2,3,591,bybit
2,4,794,bybit
2,5,1267,bybit
2,6,746,bybit
2,7,505,bybit
2,8,986,bybit
2,9,711,bybit
2,10,884,bybit
2,11,1240,bybit
2,12,1385,bybit
2,13,1666,bybit
2,14,4576,bybit
2,15,4596,bybit
2,16,4639,bybit
2,17,3628,bybit
2,18,3363,bybit
2,19,2627,bybit
2,20,1161,bybit
2,21,1682,bybit
2,22,955,bybit
2,23,652,bybit
3,0,864,bybit
3,1,1128,bybit
3,2,1283,bybit
3,3,1042,bybit
3,4,600,bybit
3,5,814,bybit
3,6,750,bybit
3,7,891,bybit
3,8,454,bybit
3,9,1211,bybit
3,10,844,bybit
3,11,1011,bybit
3,12,1537,bybit
3,13,2274,bybit
3,14,3643,bybit
3,15,7823,bybit
3,16,3690,bybit
3,17,4055,bybit
3,18,3500,bybit
3,19,2464,bybit
3,20,4032,bybit
3,21,762,bybit
3,22,1079,bybit
3,23,841,bybit
4,0,4628,bybit
4,1,3083,bybit
4,2,1727,bybit
4,3,747,bybit
4,4,2023,bybit
4,5,564,bybit
4,6,868,bybit
4,7,3230,bybit
4,8,1196,bybit
4,9,1265,bybit
4,10,1639,bybit
4,11,1379,bybit
4,12,2984,bybit
4,13,2902,bybit
4,14,3965,bybit
4,15,4436,bybit
4,16,3194,bybit
4,17,1929,bybit
4,18,2226,bybit
4,19,703,bybit
4,20,906,bybit
4,21,272,bybit
4,22,845,bybit
4,23,479,bybit
5,0,287,bybit
5,1,188,bybit
5,2,174,bybit
5,3,252,bybit
5,4,467,bybit
5,5,159,bybit
5,6,1569,bybit
5,7,613,bybit
5,8,1613,bybit
5,9,275,bybit
5,10,351,bybit
5,11,533,bybit
5,12,424,bybit
5,13,764,bybit
5,14,4099,bybit
5,15,538,bybit
5,16,2585,bybit
5,17,4285,bybit
5,18,4998,bybit
5,19,1021,bybit
5,20,471,bybit
5,21,485,bybit
5,22,467,bybit
5,23,1411,bybit
6,0,922,bybit
6,1,957,bybit
6,2,1057,bybit
6,3,367,bybit
6,4,523,bybit
6,5,316,bybit
6,6,400,bybit
6,7,612,bybit
6,8,668,bybit
6,9,490,bybit
6,10,656,bybit
6,11,931,bybit
6,12,1098,bybit
6,13,1360,bybit
6,14,2835,bybit
6,15,1460,bybit
6,16,2010,bybit
6,17,2305,bybit
6,18,2180,bybit
6,19,1608,bybit
6,20,1178,bybit
6,21,1167,bybit
6,22,2984,bybit
6,23,3707,bybit
